22:49:58,705 INFO  [com.platform.cloud.xpmanagement.AppStarter] [main] Application started.
22:50:07,728 INFO  [com.platform.cloud.xpmanagement.controller.ExperienceServiceController] [http-nio-8081-exec-1] Getting a experience with PLAYER_ID: 111
22:50:07,751 INFO  [com.platform.cloud.xpmanagement.controller.ExperienceServiceController] [http-nio-8081-exec-1] The experience exists in DB.
22:50:16,255 INFO  [com.platform.cloud.xpmanagement.controller.ExperienceServiceController] [http-nio-8081-exec-3] Updating a experience with PLAYER_ID: 111 and points: 1000
22:50:16,257 INFO  [com.platform.cloud.xpmanagement.controller.ExperienceServiceController] [http-nio-8081-exec-3] The experience exists in DB.
22:50:16,285 INFO  [com.platform.cloud.xpmanagement.controller.ExperienceServiceController] [http-nio-8081-exec-3] Creating an experience log...
22:51:22,955 INFO  [com.platform.cloud.xpmanagement.AppStarter] [main] Starting Experience Management with version: null
22:51:23,267 INFO  [com.platform.cloud.xpmanagement.AppStarter] [main] Starting AppStarter on DESKTOP-I4IQLD5 with PID 30680 (D:\Projects\xp-management\target\classes started by Yuhao in D:\Projects\xp-management)
22:51:23,267 INFO  [com.platform.cloud.xpmanagement.AppStarter] [main] No active profile set, falling back to default profiles: default
22:51:24,368 INFO  [com.platform.cloud.xpmanagement.ModuleConfiguration] [main] PROPERTIES: 'name=Experience Management'
22:51:25,842 INFO  [com.platform.cloud.xpmanagement.AppStarter] [main] Started AppStarter in 2.776 seconds (JVM running for 3.247)
22:51:25,843 INFO  [com.platform.cloud.xpmanagement.AppStarter] [main] Application started.
22:51:31,015 INFO  [com.platform.cloud.xpmanagement.controller.ExperienceServiceController] [http-nio-8081-exec-2] Updating a experience with PLAYER_ID: 111 and points: 1000
22:51:31,038 INFO  [com.platform.cloud.xpmanagement.controller.ExperienceServiceController] [http-nio-8081-exec-2] The experience exists in DB.
22:51:31,075 INFO  [com.platform.cloud.xpmanagement.controller.ExperienceServiceController] [http-nio-8081-exec-2] Creating an experience log...
12:59:23,127 INFO  [com.platform.cloud.xpmanagement.AppStarter] [main] Starting Experience Management with version: null
12:59:23,477 INFO  [com.platform.cloud.xpmanagement.AppStarter] [main] Starting AppStarter on DESKTOP-I4IQLD5 with PID 20028 (D:\Projects\xp-management\target\classes started by Yuhao in D:\Projects\xp-management)
12:59:23,478 INFO  [com.platform.cloud.xpmanagement.AppStarter] [main] No active profile set, falling back to default profiles: default
13:00:53,897 INFO  [com.platform.cloud.xpmanagement.AppStarter] [main] Starting Experience Management with version: null
13:00:54,230 INFO  [com.platform.cloud.xpmanagement.AppStarter] [main] Starting AppStarter on DESKTOP-I4IQLD5 with PID 2948 (D:\Projects\xp-management\target\classes started by Yuhao in D:\Projects\xp-management)
13:00:54,232 INFO  [com.platform.cloud.xpmanagement.AppStarter] [main] No active profile set, falling back to default profiles: default
13:00:55,722 INFO  [com.platform.cloud.xpmanagement.ModuleConfiguration] [main] PROPERTIES: 'name=Experience Management'
13:00:57,233 INFO  [com.platform.cloud.xpmanagement.AppStarter] [main] Started AppStarter in 3.216 seconds (JVM running for 3.641)
13:00:57,234 INFO  [com.platform.cloud.xpmanagement.AppStarter] [main] Application started.
13:01:24,385 INFO  [com.platform.cloud.xpmanagement.controller.ExperienceServiceController] [http-nio-8081-exec-2] Getting a experience with PLAYER_ID: 111
13:01:24,411 INFO  [com.platform.cloud.xpmanagement.controller.ExperienceServiceController] [http-nio-8081-exec-2] The experience does not exist in DB.
13:01:24,411 INFO  [com.platform.cloud.xpmanagement.controller.ExperienceServiceController] [http-nio-8081-exec-2] Creating a new experience.
13:01:32,087 INFO  [com.platform.cloud.xpmanagement.controller.ExperienceServiceController] [http-nio-8081-exec-3] Updating a experience with PLAYER_ID: 111 and points: 1000
13:01:32,088 INFO  [com.platform.cloud.xpmanagement.controller.ExperienceServiceController] [http-nio-8081-exec-3] The experience exists in DB.
13:01:32,103 INFO  [com.platform.cloud.xpmanagement.controller.ExperienceServiceController] [http-nio-8081-exec-3] Creating an experience log...
